Line No.   Lexeme         TOKEN-TYPE    ATTRIBUTE
  21       ;              79 (SYMBOL)   0              (Symbol)
  22       begin          60 (resword)  -439336064     (NULL)
  23       l              52 (ID)       0x7fc6e5d050c0 (ptr2symb tbl)
  23       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  23       75             57 (INTEGER)  0              (INTEGER)
  24       end            61 (resword)  -439335984     (NULL)
  24       ;              79 (SYMBOL)   0              (Symbol)
  25       function–B–Â∆ 58 (resword)  -439336144     (NULL)
  25       fun7           52 (ID)       0x0            (ptr2symb tbl)
  25       :              80 (SYMBOL)   0              (Symbol)
  25       integer        55 (resword)  -439336304     (NULL)
  25       ;              79 (SYMBOL)   0              (Symbol)
  26       var            51 (resword)  -439336544     (NULL)
  26       g              52 (ID)       0x7fc6e5d04b70 (ptr2symb tbl)
  26       :              80 (SYMBOL)   0              (Symbol)
  26       integer        55 (resword)  -439336304     (NULL)
  26       ;              79 (SYMBOL)   0              (Symbol)
  27       begin          60 (resword)  -439336064     (NULL)
  28       end            61 (resword)  -439335984     (NULL)
  28       ;              79 (SYMBOL)   0              (Symbol)
  29       function–B–Â∆ 58 (resword)  -439336144     (NULL)
  29       fun4           52 (ID)       0x0            (ptr2symb tbl)
  29       (              75 (SYMBOL)   0              (Symbol)
  29       hello          52 (ID)       0x0            (ptr2symb tbl)
  29       :              80 (SYMBOL)   0              (Symbol)
  29       array          53 (resword)  -439336464     (NULL)
  29       [              76 (SYMBOL)   0              (Symbol)
  29       1              57 (INTEGER)  0              (INTEGER)
  29       ..             73 (SYMBOL)   -510891936     (Symbol)
  29       2              57 (INTEGER)  0              (INTEGER)
  29       ]              76 (SYMBOL)   1              (Symbol)
  29       of             54 (resword)  -439336384     (NULL)
  29       integer        55 (resword)  -439336304     (NULL)
  29       )              75 (SYMBOL)   1              (Symbol)
  29       :              80 (SYMBOL)   0              (Symbol)
  29       integer        55 (resword)  -439336304     (NULL)
  29       ;              79 (SYMBOL)   0              (Symbol)
  30       begin          60 (resword)  -439336064     (NULL)
  31       while          70 (resword)  -439335344     (NULL)
  31       (              75 (SYMBOL)   0              (Symbol)
  31       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  31       =              63 (RELOP)    0              (RELOP_EQ)
  31       hello          52 (ID)       0x0            (ptr2symb tbl)
  31       [              76 (SYMBOL)   0              (Symbol)
  31       2.5            57 (REAL)     0              (REAL)
  31       ]              76 (SYMBOL)   1              (Symbol)
  31       )              75 (SYMBOL)   1              (Symbol)
  31       do             71 (resword)  -439335264     (NULL)
  32       begin          60 (resword)  -439336064     (NULL)
  33       e              52 (ID)       0x7fc6e5d04ed0 (ptr2symb tbl)
  33       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  33       c              52 (ID)       0x7fc6e5d04a50 (ptr2symb tbl)
  34       end            61 (resword)  -439335984     (NULL)
  35       end            61 (resword)  -439335984     (NULL)
  35       ;              79 (SYMBOL)   0              (Symbol)
  36       begin          60 (resword)  -439336064     (NULL)
  37       b              52 (ID)       0x7fc6e5d049c0 (ptr2symb tbl)
  37       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  37       e              52 (ID)       0x7fc6e5d04ed0 (ptr2symb tbl)
  37       +              64 (SYMBOL)   0              (Symbol)
